Section,ID,Signal,Scoring Rubric,Current Source,Data We Have (D004),Status,Pipeline Field / Fix Needed
PD - A: Initiation & Alternatives,A1,Who Initiated Contact,"Buyer=1, Mutual/Banker=3, Target=5",Proxy background,NONE — proxy files are wrong deals,MISSING,Need correct proxy background
PD - A: Initiation & Alternatives,A2,Time from NDA to Signing,"<6wk=1, 6-12wk=3, >12wk=5",NDA date vs signing date,NDA June 25 + signing July 30 = 35 days,COMPUTABLE,dma_extract source_text (NDA date) + press_release announce_date
PD - A: Initiation & Alternatives,A3,Competitive Process,"No alternatives=1, Market check=3, Auction=5",Proxy background,NONE,MISSING,Need correct proxy background
PD - A: Initiation & Alternatives,A4,Target Standalone Viability,"Distressed=1, Moderate=3, Strong growth=5","Proxy, 10-K",NONE,MISSING,Need proxy background or 10-K pipeline
PD - A: Initiation & Alternatives,A5,Industry Buyer Universe,"1 buyer=1, 2-3=3, 4+=5","Industry analysis, proxy",NONE,MISSING,Need proxy or industry analysis
PD - B: Premium & Consideration,B1,Headline Premium (vs unaffected),"<15%=1, 15-25%=3, 25-40%=4, >40%=5",Merger agreement + stock price,premium_pct=null in press release,MISSING,Need stock price data
PD - B: Premium & Consideration,B2,Premium vs 52-Week High,"Below=1, At=3, >10% above=5",Stock price data,NONE,MISSING,Need stock price feed
PD - B: Premium & Consideration,B3,Price Movement During Negotiation,"No movement=1, 1-10% increase=3, >10%=5",Proxy background,NONE,MISSING,Need correct proxy background
PD - B: Premium & Consideration,B4,Cash as % of Total Consideration,"All stock=1, 10-30%=3, >50%=5, All cash=5",Merger agreement,$45 cash + 2.2005 PANW shares,PARTIAL,dma_extract: offer_price_cash + stock_exchange_ratio. Need PANW price.
PD - B: Premium & Consideration,B5,Collar or Walk-Away on Buyer Stock,"No protection=1, Collar=3, Walk-away=5",Consideration adjustment provisions,Nasdaq proration only — no collar,COMPUTABLE,dma_extract source_text. Answer: No collar. Score=1
PD - C: Protective Terms,C1,RTF as % of Deal Value,"No RTF=1, <2%=2, 2-4%=3, 4-6%=4, >6%=5",Termination section,RTF=$1B. Deal value unknown.,PARTIAL,dma_extract: acquirer_reverse_break_fee_mm=1000. Need equity value.
PD - C: Protective Terms,C2,RTF Trigger Breadth,"Denial only=1, +conditions=3, +End Date=5",Termination fee triggers,Denial + End Date + reg failure,COMPUTABLE,dma_extract + termination_assessment. Score=5
PD - C: Protective Terms,C3,Ticking Fee / Consideration Increase,"None=1, Small=3, Meaningful=5",Consideration adjustment for delay,Not mentioned anywhere,COMPUTABLE,Absent from all sources. Answer: None. Score=1
PD - C: Protective Terms,C4,Fiduciary Out Breadth,"Heavily restricted=1, Standard=3, Broad=5",No-solicitation provisions,Standard fiduciary out + $750M fee,COMPUTABLE,dma_extract + termination_assessment. Score~3
PD - C: Protective Terms,C5,Match Right Duration (biz days),">5 days=1, 4-5=3, <4 or none=5",Match right mechanics,4 biz days initial + 3 after revised notice,COMPUTABLE,dma_extract source_text. Answer: 4 days. Score=3
PD - D: Market Signal,D1,Target Stock Reaction to Announcement,"Dropped=1, Flat-5%=3, 5-15%=4, >15%=5",Stock price — announcement day,NONE,MISSING,Need stock price feed
PD - D: Market Signal,D2,Buyer Stock Reaction to Announcement,"Dropped >3%=5, 1-3%=3, Flat/up=1",Stock price — announcement day,NONE,MISSING,Need stock price feed
PD - D: Market Signal,D3,Current Spread as % of Deal Value,"<3%=5, 3-8%=4, 8-15%=3, 15-25%=2, >25%=1",Current stock prices,NONE,MISSING,Need live stock price feed
PD - D: Market Signal,D4,Implied Market Probability of Closing,">85%=5, 70-85%=4, 55-70%=3, 40-55%=2, <40%=1",Calculated from arb spread,NONE,MISSING,Depends on D3
PD - D: Market Signal,D5,Spread Trend Since Announcement,"Widening=1, Stable=3, Tightening=5",Historical spread data,NONE,MISSING,Need time-series stock prices
RR - A: Structural Complexity,A1,Number of Required Regulatory Approvals,"1(HSR)=1, 2-3=2, 4-5=3, 6-8=4, >8=5",Merger agreement filings list,15 approvals in regulatory timeline,COMPUTABLE,timelines/D004_regulatory.json approvals[] count
RR - A: Structural Complexity,A2,Substantive Review Agencies (vs ministerial),"0=1, 1=2, 2=3, 3=4, >3=5",Agency profile matching,"Categories: antitrust, listing, statutory",COMPUTABLE,timelines/D004_regulatory.json approvals[].category
RR - A: Structural Complexity,A3,Cross-Border Regulatory Exposure,"US only=1, 1 foreign=2, 2-3=3, 4-5=4, >5=5",Required filings list,"8 jurisdictions (AU, CN, EU, IL, CH, TR, US, Multiple)",COMPUTABLE,timelines/D004_regulatory.json approvals[].jurisdiction
RR - A: Structural Complexity,A4,Novel Regulatory Framework,"Established=1, Recent=2, Limited=3, First test=5",Historical precedent,NONE,MISSING,Need precedent research. Claude estimates.
RR - A: Structural Complexity,A5,Parallel vs Sequential Dependencies,"All parallel=1, Mostly parallel=3, Sequential=5",Agreement + agency profiles,Israeli 50-day + 30-day sequential waits,PARTIAL,dma_extract conditions + regulatory timeline statuses
RR - B: Agreement Structure,B1,Outside Date Length (months from signing),"<12mo=1, 12-18=2, 18-24=3, 24-30=4, >30=5",End Date definition,July 30 2025 to July 30 2026 = 12 months,COMPUTABLE,dma_extract: outside_date=2026-07-30. Answer: 12mo. Score=2
RR - B: Agreement Structure,B2,End Date Extension Mechanics,"No extensions=1, General=3, Auto tied to agency=5",Extension provisions,Auto-extend to Oct 30 2026 if reg conditions pending,COMPUTABLE,dma_extract: outside_date_extension + condition. Score=5
RR - B: Agreement Structure,B3,RTF Existence and Size (% of TEV),"No RTF=1, <2%=2, 2-4%=3, 4-6%=4, >6%=5",Termination fee provisions,RTF=$1B. Need TEV.,PARTIAL,Same as PD-C1. Need equity value.
RR - B: Agreement Structure,B4,Efforts Standard,"HOHW=1, RBE narrow=2, RBE+MBRC=3, CRE=4, CRE broad=5",Regulatory covenant,RBE + MBRC carveout,COMPUTABLE,dma_extract source_text. Score=3
RR - B: Agreement Structure,B5,Burdensome Condition Walk-Away,"No concept=1, Public criteria=3, Hidden in schedules=5",MBRC definition,Materially reduce anticipated benefits — partially public,COMPUTABLE,dma_extract source_text. Score~3
RR - C: Conditionality Architecture,C1,Condition Asymmetry (Buyer-only conditions),"Symmetric=1, 1 buyer-only=3, 2+ buyer-only=5",Conditions article,"12 conditions: 6 mutual, 3 company-only, 3 parent-only",COMPUTABLE,dma_extract conditions_to_closing + covenants specific_provisions
RR - C: Conditionality Architecture,C2,Requisite vs Total Approvals Gap,"All requisite=5, Most=3, Only 1-2=1",Requisite vs total,Broad language requiring all filings,PARTIAL,Need Requisite Regulatory Approvals definition from DMA
RR - C: Conditionality Architecture,C3,Voting Trust Structure,"In place=1, Open not confirmed=3, Prohibited=5",Voting trust provisions,Not mentioned in any source,COMPUTABLE,Absent from all sources. Score~3
RR - C: Conditionality Architecture,C4,Pre-Committed Remedies,"Detailed public=1, In schedules=3, None=5",Remedy commitments,"Parent retains full control, no pre-committed remedies",COMPUTABLE,dma_extract source_text. Score=5
RR - C: Conditionality Architecture,C5,Anti-Frustration + Willful Breach,"Strong w/ damages=1, Standard=3, Weak/absent=5",Termination provisions,"Specific performance available, breach restriction",COMPUTABLE,dma_extract + termination_assessment. Score~2
RR - D: External Risk Factors,D1,Political Environment,"Supportive=1, Neutral=3, Active opposition=5","News, Congressional statements",NONE,MISSING,Need news monitoring. Claude estimates.
RR - D: External Risk Factors,D2,Known Opposition Filed,"None=1, Minor=2, Competitors=4, Broad coalition=5","Agency docket, news",HSR early termination Dec 2025 (good sign),PARTIAL,Regulatory timeline has status but no opposition tracking
RR - D: External Risk Factors,D3,Precedent Transaction Outcome,"Clean approval=1, Manageable conditions=3, Severe=4, Denied=5",Agency docket history,NONE,MISSING,Need precedent DB. Claude estimates.
RR - D: External Risk Factors,D4,Competitive Overlap Assessment,"No overlap=1, Minor=2, Moderate=3, Significant=5","10-K, market share",NONE,MISSING,Need industry analysis. Claude estimates.
RR - D: External Risk Factors,D5,Agency Capacity / Timeline Stress,"Normal=1, Multiple major=3, Unprecedented=5",Agency docket volume,NONE,MISSING,Need agency monitoring. Claude estimates.